"AKR","店舗名","日付","曜日","天気","売上","売上目標","売上目標達成率","売上目標差分","昨年売上","売上昨対比","粗利","売上-FL","利益","コース売上","フード売上","ドリンク売上","アルコール売上","ソフトドリンク売上","ランチ売上","ディナー売上","出前売上","テイクアウト売上","ランチコース売上","ランチフード売上","ランチドリンク売上","ディナーコース売上","ディナーフード売上","ディナードリンク売上","客数","ランチ客数","ランチ組数","ディナー客数","ディナー組数","直接来店客数","予約来店客数","組数","直接来店組数","予約来店組数","リピート客率","リピート組率","客単価","ランチ客単価","ディナー客単価","FLコスト","FL率","仕入高","仕入率","理論原価高","理論原価率","人件費","人件費率","人件費率目標","人件費（Airシフト）","人時売上","人時生産性","1st D提供","F一品目提供","D提供遅れ","F提供遅れ","おすすめ成功"
"AKR1761659248","Niki・DINER","2025-12-31","水","晴","109179","0","0.0","109179","0","0.0","109179","109179","109179","0","91709","8990","4540","4450","109179","0","0","0","0","91709","8990","0","0","0","53","53","22","0","0","53","0","22","22","0","0.0","0.0","2059","2059","0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","328","515","8","0","0"
"AKR1761659248","Niki・DINER","2025-12-30","火","晴","156241","0","0.0","156241","0","0.0","156241","156241","156241","0","128721","16740","7860","8880","114860","41381","0","0","0","94000","11260","0","34721","5480","79","63","30","16","7","79","0","37","37","0","0.0","0.0","1977","1823","2586","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","486","513","9","0","0"
"AKR1761659248","Niki・DINER","2025-12-29","月","晴","111950","0","0.0","111950","0","0.0","111950","111950","111950","0","94670","9089","2340","6749","104050","7900","0","0","0","87350","8509","0","7320","580","54","48","25","6","2","54","0","27","27","0","0.0","0.0","2073","2167","1316","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","266","623","2","0","0"
"AKR1761659248","Niki・DINER","2025-12-28","日","晴","121540","0","0.0","121540","0","0.0","121540","121540","121540","0","100640","20900","15220","5680","80980","40560","0","0","0","72020","8960","0","28620","11940","58","41","19","17","9","58","0","28","28","0","0.0","0.0","2095","1975","2385","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","150","443","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-27","土","晴","114138","0","0.0","114138","0","0.0","114138","114138","114138","0","103478","10660","3280","7380","98708","15430","0","0","0","90408","8300","0","13070","2360","55","48","25","7","4","55","0","29","29","0","0.0","0.0","2075","2056","2204","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","175","352","3","0","0"
"AKR1761659248","Niki・DINER","2025-12-26","金","晴","49890","0","0.0","49890","0","0.0","49890","49890","49890","0","41100","5350","4800","550","21090","28800","0","0","0","19350","780","0","21750","4570","22","10","7","12","8","22","0","15","15","0","0.0","0.0","2267","2109","2400","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","114","418","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-25","木","雨","51897","0","0.0","51897","0","0.0","51897","51897","51897","0","42787","4570","3040","1530","22030","29867","0","0","0","18520","1200","0","24267","3370","22","9","7","13","7","22","0","14","14","0","0.0","0.0","2358","2447","2297","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","377","443","1","0","0"
"AKR1761659248","Niki・DINER","2025-12-24","水","曇","0","0","0.0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","0","0","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-23","火","晴","0","0","0.0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","0","0","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-22","月","晴","37610","0","0.0","37610","0","0.0","37610","37610","37610","0","32300","1180","0","1180","29990","7620","0","0","0","25230","1180","0","7070","0","19","16","13","3","3","19","0","16","16","0","0.0","0.0","1979","1874","2540","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","8954","8954","385","358","1","0","0"
"AKR1761659248","Niki・DINER","2025-12-21","日","雨","88940","0","0.0","88940","0","0.0","88940","88940","88940","0","82860","6080","3180","2900","85660","3280","0","0","0","79580","6080","0","3280","0","41","39","20","2","1","41","0","21","21","0","0.0","0.0","2169","2196","1640","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","131","451","0","1","0"
"AKR1761659248","Niki・DINER","2025-12-20","土","曇","71753","0","0.0","71753","0","0.0","71753","71753","71753","0","63683","8070","1740","6330","41123","30630","0","0","0","37743","3380","0","25940","4690","33","21","11","12","8","33","0","19","19","0","0.0","0.0","2174","1958","2552","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","208","435","1","0","0"
