"日付","店舗名","純売上","純売上(税抜)","消費税","免税額","総売上","値引き","天気","ポイント利用","外税受領","売上対象外","送料","手数料","原価","粗利","販売点数","返品数","取引数","取引単価","客数","客単価","予算設定金額","予算達成率","クーポン利用"
"2026/03/01","よいどころ千福","0","0","0","0","","","晴","","0","","","","","","","","","","","","0","",""
"2026/03/02","よいどころ千福","0","0","0","0","","","晴後一時曇","","0","","","","","","","","","","","","0","",""
"2026/03/03","よいどころ千福","0","0","0","0","","","雨","","0","","","","","","","","","","","","0","",""
"2026/03/04","よいどころ千福","0","0","0","0","","","晴一時雨","","0","","","","","","","","","","","","0","",""
"2026/03/05","よいどころ千福","0","0","0","0","","","晴","","0","","","","","","","","","","","","0","",""
"2026/03/06","よいどころ千福","110210","100405","9805","0","100446","41","晴時々曇","0","9805","0","0","0","0","110210","71","0","7","15744","12","9184","0","0.0","0"
"2026/03/07","よいどころ千福","404990","368167","36823","0","368230","63","晴時々曇","0","36823","0","0","0","0","404990","207","0","12","33749","30","13500","0","0.0","0"
"2026/03/08","よいどころ千福","0","0","0","0","","","晴","","0","","","","","","","","","","","","0","",""
"2026/03/09","よいどころ千福","213140","193762","19378","0","193780","18","晴","0","19378","0","0","0","0","213140","94","0","6","35523","27","7894","0","0.0","0"
"2026/03/10","よいどころ千福","100240","91124","9116","0","91160","36","晴時々曇","0","9116","0","0","0","0","100240","90","0","7","14320","16","6265","0","0.0","0"
"2026/03/11","よいどころ千福","126530","115025","11505","0","115050","25","晴","0","11505","0","0","0","0","126530","116","13","7","18076","12","10544","0","0.0","0"
"2026/03/12","よいどころ千福","127840","116216","11624","0","116240","24","晴","0","11624","0","0","0","0","127840","114","0","7","18263","13","9834","0","0.0","0"
"2026/03/13","よいどころ千福","239540","217760","21780","0","219680","1920","曇時々晴","0","21780","0","0","0","0","239540","253","0","10","23954","45","5323","0","0.0","0"
"2026/03/14","よいどころ千福","305850","278043","27807","0","278078","35","","0","27807","0","0","0","0","305850","273","0","13","23527","32","9558","0","0.0","0"
"2026/03/15","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/16","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/17","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/18","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/19","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/20","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/21","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/22","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/23","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/24","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/25","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/26","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/27","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/28","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/29","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/30","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"2026/03/31","よいどころ千福","0","0","0","0","","","","","0","","","","","","","","","","","","0","",""
"合計","よいどころ千福","1628340","1480502","147838","0","1482664","2162","-","0","147838","0","0","0","0","1628340","1218","13","69","23599","187","8708","0","0.0","0"
"前月実績","よいどころ千福","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0"
"前月比","よいどころ千福","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-","","0","-","-","-"
"前年実績","よいどころ千福","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0"
"前年比","よいどころ千福","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-","","0","-","-","-"
